1.022837570072763726e-04,1.283745662185589980e-03,-6.073448878576128696e-01
2.505017031415745499e-01,-3.613847922538476304e-05,-4.082769629457617677e-01
5.016631826693350726e-01,3.291685174649894947e-04,-5.453229397891049546e-01
7.513326526410993855e-01,6.634592466968753082e-04,1.227663981293292128e-01
9.998381986384475839e-01,-7.627770636849954199e-05,2.842806422152071022e-01
-6.095143142904290963e-04,2.506002300355200663e-01,-4.079782998224362189e-01
2.520042413294074080e-01,2.506826378139397904e-01,-5.474443224798712926e-01
5.008360311786255181e-01,2.512303931312599437e-01,1.230240037265465380e-01
7.505239653666732069e-01,2.490588351856460603e-01,2.844910377187432338e-01
9.997512992653667663e-01,2.491119932793934288e-01,8.863106608271414943e-03
9.228911507244565810e-04,5.012415350791306068e-01,-5.458506721277567308e-01
2.503321661329748760e-01,4.996035828866188244e-01,1.151578810525205609e-01
5.005048227996573562e-01,5.012610863698820918e-01,2.819172740506656893e-01
7.501347591312625962e-01,5.003183284182821655e-01,7.733844850957183326e-03
1.000595448718571090e+00,4.999764386830665708e-01,-6.045617447536132810e-02
-8.248036235866937132e-04,7.497060148139003122e-01,1.112191129052511607e-01
2.508398474759803709e-01,7.501992149415047662e-01,2.827764569473594225e-01
4.994415966623734215e-01,7.498709249007041722e-01,8.542970313777570324e-03
7.491401597409139690e-01,7.510635661625998383e-01,-6.047890909003015431e-02
1.001128537108013417e+00,7.510858978746715042e-01,-1.193662580708701286e-02
-3.889763975831707289e-04,9.997429861072446577e-01,2.847595706033008156e-01
2.502138600748123332e-01,1.001059780790869214e+00,7.155004500242145848e-03
5.005260789586488679e-01,9.974010687108477713e-01,-6.061406055710211183e-02
7.502687254192084154e-01,1.000731731688117021e+00,-1.223909009750940441e-02
9.998340478775482598e-01,9.982753741324098540e-01,5.235902395194829556e-02
